Start_Time,Stop_Time,N_Bikes,Station_Name
2017-01-04 T21:40 Z,2017-01-04 T22:00 Z,1,Pershing Square North
2017-01-04 T22:00 Z,2017-01-04 T22:20 Z,1,Pershing Square North
2017-01-04 T22:20 Z,2017-01-04 T22:40 Z,0,Pershing Square North
2017-01-04 T22:40 Z,2017-01-04 T23:00 Z,1,Pershing Square North
2017-01-04 T23:00 Z,2017-01-04 T23:20 Z,0,Pershing Square North
2017-01-04 T23:20 Z,2017-01-04 T23:40 Z,1,Pershing Square North
2017-01-04 T23:40 Z,2017-01-05 T00:00 Z,0,Pershing Square North
2017-01-05 T00:00 Z,2017-01-05 T00:20 Z,1,Pershing Square North
2017-01-05 T00:20 Z,2017-01-05 T00:40 Z,0,Pershing Square North
2017-01-05 T00:40 Z,2017-01-05 T01:00 Z,1,Pershing Square North
2017-01-05 T01:00 Z,2017-01-05 T01:20 Z,0,Pershing Square North
2017-01-05 T01:20 Z,2017-01-05 T01:40 Z,1,Pershing Square North
2017-01-05 T01:40 Z,2017-01-05 T02:00 Z,0,Pershing Square North
2017-01-05 T02:00 Z,2017-01-05 T02:20 Z,0,Pershing Square North
2017-01-05 T02:20 Z,2017-01-05 T02:40 Z,0,Pershing Square North
2017-01-05 T02:40 Z,2017-01-05 T03:00 Z,0,Pershing Square North
2017-01-05 T03:00 Z,2017-01-05 T03:20 Z,0,Pershing Square North
2017-01-05 T03:20 Z,2017-01-05 T03:40 Z,0,Pershing Square North
2017-01-05 T03:40 Z,2017-01-05 T04:00 Z,0,Pershing Square North
2017-01-05 T04:00 Z,2017-01-05 T04:20 Z,0,Pershing Square North
2017-01-05 T04:20 Z,2017-01-05 T04:40 Z,0,Pershing Square North
2017-01-05 T04:40 Z,2017-01-05 T05:00 Z,0,Pershing Square North
2017-01-05 T05:00 Z,2017-01-05 T05:20 Z,1,Pershing Square North
2017-01-05 T05:20 Z,2017-01-05 T05:40 Z,0,Pershing Square North
2017-01-05 T05:40 Z,2017-01-05 T06:00 Z,3,Pershing Square North
2017-01-05 T06:00 Z,2017-01-05 T06:20 Z,0,Pershing Square North
2017-01-05 T06:20 Z,2017-01-05 T06:40 Z,6,Pershing Square North
2017-01-05 T06:40 Z,2017-01-05 T07:00 Z,13,Pershing Square North
2017-01-05 T07:00 Z,2017-01-05 T07:20 Z,10,Pershing Square North
2017-01-05 T07:20 Z,2017-01-05 T07:40 Z,16,Pershing Square North
2017-01-05 T07:40 Z,2017-01-05 T08:00 Z,10,Pershing Square North
2017-01-05 T08:00 Z,2017-01-05 T08:20 Z,9,Pershing Square North
2017-01-05 T08:20 Z,2017-01-05 T08:40 Z,12,Pershing Square North
2017-01-05 T08:40 Z,2017-01-05 T09:00 Z,21,Pershing Square North
2017-01-05 T09:00 Z,2017-01-05 T09:20 Z,14,Pershing Square North
2017-01-05 T09:20 Z,2017-01-05 T09:40 Z,10,Pershing Square North
2017-01-05 T09:40 Z,2017-01-05 T10:00 Z,9,Pershing Square North
2017-01-05 T10:00 Z,2017-01-05 T10:20 Z,2,Pershing Square North
2017-01-05 T10:20 Z,2017-01-05 T10:40 Z,4,Pershing Square North
2017-01-05 T10:40 Z,2017-01-05 T11:00 Z,2,Pershing Square North
2017-01-05 T11:00 Z,2017-01-05 T11:20 Z,1,Pershing Square North
2017-01-05 T11:20 Z,2017-01-05 T11:40 Z,4,Pershing Square North
2017-01-05 T11:40 Z,2017-01-05 T12:00 Z,1,Pershing Square North
2017-01-05 T12:00 Z,2017-01-05 T12:20 Z,4,Pershing Square North
2017-01-05 T12:20 Z,2017-01-05 T12:40 Z,0,Pershing Square North
2017-01-05 T12:40 Z,2017-01-05 T13:00 Z,5,Pershing Square North
2017-01-05 T13:00 Z,2017-01-05 T13:20 Z,1,Pershing Square North
2017-01-05 T13:20 Z,2017-01-05 T13:40 Z,3,Pershing Square North
2017-01-05 T13:40 Z,2017-01-05 T14:00 Z,3,Pershing Square North
2017-01-05 T14:00 Z,2017-01-05 T14:20 Z,1,Pershing Square North
